ticker,company_name,sector,industry,market_cap,current_price,forward_pe,trailing_pe,peg_ratio,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta,return_5y,high_growth
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,9827081216.0,92.105,9.149219,,,0.07,,-0.20683001,143.204,0.259,-0.15089981708175038,False
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,160243679232.0,451.175,39.480682,57.32846,,0.188,0.166,0.16690001,0.953,1.679,0.7249773417264449,False
CDW,CDW Corporation,Technology,Information Technology Services,16686921728.0,128.17,11.333752,15.88228,,0.063,0.088,0.43018,236.871,1.018,-0.22272615139381746,False
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,87292878848.0,142.62,25.639643,47.85906,,0.068,0.342,0.12640001,73.339,1.402,1.537083196985947,False
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,77423656960.0,274.14,28.388935,37.708393,,0.048,0.202,0.22516,91.769,1.024,0.3206124576873113,False
SYF,Synchrony Financial,Financial Services,Credit Services,26076389376.0,72.4,6.914685,7.751606,,0.05,0.078,0.21304001,,1.381,0.8908869046574301,False
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,42250547200.0,114.68,17.694773,20.297344,,0.089,-0.083,0.08767,117.317,0.335,0.8194818182087784,False
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29317146624.0,47.17,9.354903,11.312949,,-0.121,-0.085,0.17736,55.951,0.526,1.7593816074127293,False
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,72442445824.0,135.055,10.520681,14.805922,,0.0,-0.417,0.16829,30.62,0.333,1.4062363873423407,False
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,179462586368.0,161.61,28.522112,33.184807,,0.085,0.279,0.59129,132.375,0.727,1.5051832468158737,False
CSX,CSX Corporation,Industrials,Railroads,79375196160.0,42.675,20.396896,27.711039,,-0.009,-0.004,0.22511,148.222,1.246,0.39042386775810267,False
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,17429555200.0,252.085,41.01938,24.238943,,0.032,-0.687,0.12235,119.433,0.725,0.06343230512127218,False
WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,25073799168.0,65.98,13.635726,14.826967,,0.015,-0.218,0.19700001,31.921,0.373,1.1014226868021981,False
